plantid,timestamp,mature,rank_phenomenal,rank_tracking,rank_annotation,h,l,a,l_extended
1424,1492105183,False,1,1,-1,-726.0,62.911688245431435,180.0,62.911688245431435
1424,1492105183,False,2,2,-1,-682.0,73.85640646055101,45.0,79.38628919978581
1424,1492201719,False,1,1,-1,-714.0,56.8693287272298,170.75388725443676,57.68436697180347
1424,1492201719,False,2,2,-1,-690.0,137.66753757146435,38.06565109873044,140.56495090793084
1424,1492286062,True,1,1,-1,-726.0,70.91168824543144,180.0,71.45989375613568
1424,1492286062,False,2,2,-1,-694.0,164.10900151178322,49.7998361139047,164.10900151178322
1424,1492286062,False,3,3,-1,-622.0,147.99708416856393,151.58733855692742,157.28558738835085
1424,1492372350,True,1,1,-1,-710.0,42.140677708012916,-167.90524292298792,42.898969868285555
1424,1492372350,False,2,2,-1,-678.0,162.55046545210215,57.71533698889477,164.3896225134961
1424,1492372350,False,3,3,-1,-614.0,202.40843397063063,178.60281897270363,208.65617310997362
1424,1492458818,True,1,1,-1,-730.0,66.03944368676558,-169.69515353123398,66.03944368676558
1424,1492458818,False,2,2,-1,-658.0,149.77945491468364,43.69804732742112,155.61313232874843
1424,1492458818,False,3,4,-1,-618.0,141.75517243930366,68.55226367289465,171.5206536089231
1424,1492458818,False,4,3,-1,-558.0,280.94821610076076,-168.0390071457503,284.89256594447716
1424,1492539945,True,1,1,-1,-718.0,66.03944368676558,-169.69515353123398,66.03944368676558
1424,1492539945,False,2,2,-1,-646.0,149.83788311260895,33.88918324745882,150.99238214923412
1424,1492539945,False,3,4,-1,-618.0,213.4378712221535,99.07149757717717,237.58813584085414
1424,1492539945,False,4,3,-1,-546.0,328.9618152541688,-164.21282105566556,332.424068936415
1424,1492637441,True,1,1,-1,-718.0,60.3825894372732,-167.69198418257207,60.3825894372732
1424,1492637441,True,2,2,-1,-662.0,150.1649601833929,33.16322463213728,150.1649601833929
1424,1492637441,False,3,3,-1,-622.0,341.34732052287814,-167.7335137521717,344.2533277834811
1424,1492637441,False,4,4,-1,-550.0,295.5620339453222,90.09167316899322,307.51862139614184
1424,1492810320,True,1,1,-1,-694.0,79.31079266754871,-163.9509952074668,79.31079266754871
1424,1492810320,True,2,2,-1,-614.0,157.70147659411785,-1.859599338745558,157.70147659411785
1424,1492810320,False,3,3,-1,-550.0,331.19012783002114,171.62605023130976,332.23715339320114
1424,1492810320,False,4,4,-1,-502.0,233.54704471175395,131.63353933657018,262.7764057235229
1424,1492810320,False,5,5,-1,-406.0,461.4699211880696,49.688751605411674,467.1630683712814
1424,1492889197,True,1,1,-1,-678.0,66.15427686142094,-143.8067926944353,66.15427686142094
1424,1492889197,True,2,2,-1,-606.0,144.14023140289248,0.0,145.56448978270777
1424,1492889197,False,3,3,-1,-538.0,317.90517969582993,-178.57782187113142,319.022686235069
1424,1492889197,False,4,4,-1,-502.0,512.3981244183451,67.07208920667557,543.6317336138944
1424,1492889197,False,5,5,-1,-418.0,324.5928249703038,131.1689486389433,345.4309787531178
1424,1492977232,True,1,1,-1,-682.0,62.15427686142094,-137.93567344642116,62.15427686142094
1424,1492977232,True,2,2,-1,-606.0,160.86641289579373,5.38242828163004,160.86641289579373
1424,1492977232,False,3,3,-1,-522.0,307.20372698342914,-165.48894049983093,311.2677655445393
1424,1492977232,False,4,4,-1,-502.0,546.511603819542,75.37800332417623,602.5010014661472
1424,1492977232,False,5,5,-1,-414.0,358.81822171472,165.37912601136836,375.34907549141826
1424,1493079501,True,1,1,-1,-686.0,67.42562584220407,-135.0,67.42562584220407
1424,1493079501,True,2,2,-1,-618.0,160.8743523641468,22.68560339757321,160.8743523641468
1424,1493079501,True,3,3,-1,-534.0,307.5045132157352,-164.76237441043688,308.58121196340954
1424,1493079501,False,4,4,-1,-510.0,596.9062303522455,50.708715326163365,620.4996581469219
1424,1493079501,False,5,5,-1,-434.0,529.114738342131,177.49418798927377,544.961350604839
1424,1493079501,False,6,6,-1,-314.0,298.1494270420594,-48.48327146899767,309.27154383079386
1424,1493231610,True,1,1,-1,-674.0,52.497422611928556,-135.0,52.497422611928556
1424,1493231610,True,2,2,-1,-618.0,158.05012700873752,30.722410952286815,160.15100363248862
1424,1493231610,True,3,3,-1,-550.0,348.1878888853143,-160.489921466481,348.1878888853143
1424,1493231610,False,4,4,-1,-482.0,566.3606165592431,42.71177512822722,603.4524946752302
1424,1493231610,False,5,5,-1,-422.0,689.1038624978346,166.86910751104637,728.8318305250365
1424,1493231610,False,6,6,-1,-286.0,447.16675282297916,7.633330587231303,484.2768428320543
1424,1493305876,True,1,1,-1,-694.0,63.42562584220406,-131.11209043916693,63.42562584220406
1424,1493305876,True,2,2,-1,-618.0,152.14887221217623,34.57580662266057,152.14887221217623
1424,1493305876,True,3,3,-1,-546.0,309.76002409840345,-156.22994543642227,313.76081580222444
1424,1493305876,False,4,4,-1,-470.0,570.2593825379957,38.12477096012295,597.6265804321673
1424,1493305876,False,5,5,-1,-418.0,742.2035151768127,165.0675479669062,808.5924942663614
1424,1493305876,False,6,6,-1,-306.0,584.371780138784,20.31282627020737,588.3926722828126
1424,1493446072,True,1,1,-1,-698.0,71.42562584220407,-124.19560540246076,76.96087995170873
1424,1493446072,True,2,2,-1,-606.0,150.35091324104351,28.511246294108744,150.35091324104351
1424,1493446072,True,3,3,-1,-546.0,311.21441030540103,-149.8210680709184,311.21441030540103
1424,1493446072,False,4,4,-1,-454.0,563.831517751085,45.49084718111271,586.386967050331
1424,1493446072,False,5,5,-1,-410.0,799.4355374449224,174.77833494496807,879.8974468202144
1424,1493446072,False,6,6,-1,-278.0,717.3958854736381,54.54187121807878,753.9550676262269
1424,1493446072,False,7,7,-1,-198.0,501.7178647918804,-92.6230909653308,518.5130253736028
1424,1493578309,True,1,1,-1,-698.0,89.66753757146436,-129.96621304379994,89.66753757146436
